symbol,name,sector,industry
BNIX,Bannix Acquisition Corp. Common Stock,,
BNIXR,Bannix Acquisition Corp. Right,,
BNIXW,Bannix Acquisition Corp. Warrant,,
BNL,Broadstone Net Lease Inc. Common Stock,Consumer Services,Real Estate Investment Trusts
BNNR,Banner Acquisition Corp. Class A Common Stock,,
BNNRU,Banner Acquisition Corp. Units,,
BNNRW,Banner Acquisition Corp. Warrants,,
BNOX,Bionomics Limited American Depository Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BNR,Burning Rock Biotech Limited American Depositary Shares,Health Care,Medical Specialities
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,,
BNSO,Bonso Electronics International Inc. Common Stock,Capital Goods,Industrial Machinery/Components
BNTC,Benitec Biopharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BNTX,BioNTech SE American Depositary Share,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BNY,BlackRock New York Municipal Income Trust,Finance,Trusts Except Educational Religious and Charitable
BOAC,Bluescape Opportunities Acquisition Corp. Class A Ordinary Shares,Finance,Business Services
BOAS,BOA Acquisition Corp. Class A Common Stock,,
BOC,Boston Omaha Corporation Class A Common Stock,Technology,Advertising
BOCN,Blue Ocean Acquisition Corp Class A Ordinary Shares,,
BOCNU,Blue Ocean Acquisition Corp Unit,,
BOCNW,Blue Ocean Acquisition Corp Warrants,,
BODY,The Beachbody Company Inc. Class A Common Stock,Capital Goods,Industrial Machinery/Components
BOE,Blackrock Enhanced Global Dividend Trust Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
BOH,Bank of Hawaii Corporation Common Stock,Finance,Major Banks
BOH^A,Bank of Hawaii Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 4.375% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,,
BOKF,BOK Financial Corporation Common Stock,Finance,Major Banks
BOLT,Bolt Biotherapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BON,Bon Natural Life Limited Ordinary Shares,Consumer Services,Real Estate Investment Trusts
BOOM,DMC Global Inc. Common Stock,,
BOOT,Boot Barn Holdings Inc. Common Stock,Consumer Services,Clothing/Shoe/Accessory Stores
BORR,Borr Drilling Limited Common Shares,Energy,Oil & Gas Production
BOSC,B.O.S. Better Online Solutions Common Stock,Technology,Computer Communications Equipment
BOTJ,Bank of the James Financial Group Inc. Common Stock,Finance,Major Banks
BOWL,Bowlero Corp. Class A Common Stock,Consumer Services,Movies/Entertainment
BOX,Box Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
BOXD,Boxed Inc. Common Stock,Miscellaneous,Diversified Commercial Services
BOXL,Boxlight Corporation Class A Common Stock,Capital Goods,Telecommunications Equipment
BP,BP p.l.c. Common Stock,Energy,Integrated oil Companies
BPAC,Bullpen Parlay Acquisition Company Class A Ordinary Share,,
BPACU,Bullpen Parlay Acquisition Company Unit,,
BPACW,Bullpen Parlay Acquisition Company Warrant,,
BPMC,Blueprint Medicines Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BPMP,BP Midstream Partners LP Common Units representing Limited Partner Interests,Energy,Oil & Gas Production
BPOP,Popular Inc. Common Stock,Finance,Major Banks
BPOPM,Popular Inc. Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities,Finance,Major Banks
BPRN,The Bank of Princeton Common Stock,Finance,Major Banks
BPT,BP Prudhoe Bay Royalty Trust Common Stock,Energy,Integrated oil Companies
BPTH,Bio-Path Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BPTS,Biophytis SA American Depositary Share,Health Care,Biotechnology: Pharmaceutical Preparations
BPYPM,Brookfield Property Partners L.P. 6.25% Class A Cumulative Redeemable Preferred Units Series 1,,
BPYPN,Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units Series 3,Finance,Finance/Investors Services
BPYPO,Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2,Finance,Real Estate
BPYPP,Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,Finance,Finance/Investors Services
BQ,Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares,Consumer Services,Other Specialty Stores
BR,Broadridge Financial Solutions Inc. Common Stock,Miscellaneous,Business Services
BRAC,Broad Capital Acquisition Corp Common Stock,,
BRACR,Broad Capital Acquisition Corp Rights,,
BRACU,Broad Capital Acquisition Corp Unit,,
BRAG,Bragg Gaming Group Inc. Common Shares,,
BRBR,BellRing Brands Inc. Common Stock ,Consumer Non-Durables,Beverages (Production/Distribution)
BRBS,Blue Ridge Bankshares Inc. Common Stock,Finance,Commercial Banks
BRC,Brady Corporation Common Stock,Miscellaneous,Diversified Manufacture
BRCC,BRC Inc. Class A Common Stock,Consumer Non-Durables,Specialty Foods
BRCN,Burcon NutraScience Corp. Common Stock,Basic Industries,Precious Metals
BRD,Beard Energy Transition Acquisition Corp. Class A Common Stock,,
BRDG,Bridge Investment Group Holdings Inc. Class A Common Stock,Finance,Investment Managers
BRDS,Bird Global Inc. Class A Common Stock,Technology,Diversified Commercial Services
BREZ,Breeze Holdings Acquisition Corp. Common Stock,,
BREZR,Breeze Holdings Acquisition Corp. Right,Finance,Business Services
BREZW,Breeze Holdings Acquisition Corp. Warrant,,
BRFH,Barfresh Food Group Inc. Common Stock,Consumer Non-Durables,Beverages (Production/Distribution)
BRFS,BRF S.A.,Consumer Non-Durables,Meat/Poultry/Fish
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,Consumer Services,Real Estate Investment Trusts
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),,
BRID,Bridgford Foods Corporation Common Stock,Consumer Non-Durables,Specialty Foods
BRIV,B. Riley Principal 250 Merger Corp. Class A common stock,,
BRIVW,B. Riley Principal 250 Merger Corp. Warrant,,
BRK/A,Berkshire Hathaway Inc.,,
BRK/B,Berkshire Hathaway Inc.,,
BRKH,BurTech Acquisition Corp. Class A Common Stock,,
BRKHU,BurTech Acquisition Corp. Unit,,
BRKHW,BurTech Acquisition Corp. Warrants,,
BRKL,Brookline Bancorp Inc. Common Stock,Finance,Savings Institutions
BRKR,Bruker Corporation Common Stock,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BRLI,Brilliant Acquisition Corporation Ordinary Shares,Finance,Business Services
BRLIR,Brilliant Acquisition Corporation Rights,Finance,Business Services
BRLIU,Brilliant Acquisition Corporation Unit,Finance,Business Services
BRLIW,Brilliant Acquisition Corporation Warrants,Finance,Business Services
BRLT,Brilliant Earth Group Inc. Class A Common Stock,Consumer Non-Durables,Consumer Specialties
BRMK,Broadmark Realty Capital Inc. Common Stock,Consumer Services,Real Estate Investment Trusts
BRN,Barnwell Industries Inc. Common Stock,Energy,Oil & Gas Production
BRO,Brown & Brown Inc. Common Stock,Finance,Specialty Insurers
BROG,Brooge Energy Limited Ordinary Shares,Energy,Integrated oil Companies
BROGW,Brooge Holdings Limited Warrant expiring 12/20/2024,Energy,Integrated oil Companies
BROS,Dutch Bros Inc. Class A Common Stock,Consumer Services,Restaurants
BRP,BRP Group Inc. (Insurance Company) Class A Common Stock,Finance,Specialty Insurers
BRPM,B. Riley Principal 150 Merger Corp. Class A Common Stock,,
BRPMU,B. Riley Principal 150 Merger Corp. Unit,,
BRPMW,B. Riley Principal 150 Merger Corp. Warrant,,
BRQS,Borqs Technologies Inc. Ordinary Shares,,
BRSP,BrightSpire Capital Inc. Class A Common Stock,Consumer Services,Real Estate Investment Trusts
BRT,BRT Apartments Corp. (MD) Common Stock,Consumer Services,Real Estate Investment Trusts
BRTX,BioRestorative Therapies Inc. Common Stock,Health Care,Managed Health Care
BRW,Saba Capital Income & Opportunities Fund SBI,Finance,Trusts Except Educational Religious and Charitable
BRX,Brixmor Property Group Inc. Common Stock,Consumer Services,Real Estate Investment Trusts
BRY,Berry Corporation (bry) Common Stock,Energy,Oil & Gas Production
BRZE,Braze Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
BSAC,Banco Santander - Chile ADS,Finance,Commercial Banks
BSAQ,Black Spade Acquisition Co Class A Ordinary Shares,,
BSBK,Bogota Financial Corp. Common Stock,,
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,Finance,Commercial Banks
BSET,Bassett Furniture Industries Incorporated Common Stock,Consumer Durables,Home Furnishings
BSFC,Blue Star Foods Corp. Common Stock,Consumer Non-Durables,Farming/Seeds/Milling
BSGA,Blue Safari Group Acquisition Corp. Class A Ordinary Share,,
BSGAR,Blue Safari Group Acquisition Corp. Right,,
BSGAU,Blue Safari Group Acquisition Corp. Unit,,
BSGM,BioSig Technologies Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BSIG,BrightSphere Investment Group Inc. Common Stock,Finance,Finance/Investors Services
BSKY,Big Sky Growth Partners Inc. Class A Common Stock,,
BSKYU,Big Sky Growth Partners Inc. Unit,,
BSKYW,Big Sky Growth Partners Inc. Warrant,,
BSL,Blackstone Senior Floating Rate Term Fund Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
BSM,Black Stone Minerals L.P. Common units representing limited partner interests,Energy,Oil & Gas Production
BSMX,Banco Santander Mexico S.A. Institucion de Banca Multiple Grupo Financiero Santander Mexico,Finance,Commercial Banks
BSQR,BSQUARE Corporation Common Stock,Technology,Computer Software: Prepackaged Software
BSRR,Sierra Bancorp Common Stock,Finance,Major Banks
BST,BlackRock Science and Technology Trust Common Shares of Beneficial Interest,Finance,Finance Companies
BSTZ,BlackRock Science and Technology Trust II Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
BSVN,Bank7 Corp. Common stock,Finance,Major Banks
BSX,Boston Scientific Corporation Common Stock,Health Care,Medical/Dental Instruments
BSX^A,Boston Scientific Corporation 5.50% Mandatory Convertible Preferred Stock Series A,,
BSY,Bentley Systems Incorporated Class B Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
BTA,BlackRock Long-Term Municipal Advantage Trust BlackRock Long-Term Municipal Advantage Trust Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
BTAI,BioXcel Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BTB,Bit Brother Limited Class A Ordinary Shares,Basic Industries,Major Chemicals
BTBD,BT Brands Inc. Common Stock,Consumer Services,Restaurants
BTBDW,BT Brands Inc. Warrant,Consumer Services,Restaurants
BTBT,Bit Digital Inc. Ordinary Shares,Finance,Finance: Consumer Services
BTCM,BIT Mining Limited ADS,Technology,EDP Services
BTCS,BTCS Inc. Common Stock,Finance,Investment Managers
BTCY,Biotricity Inc. Common Stock,Health Care,Medical/Dental Instruments
BTG,B2Gold Corp Common shares (Canada),,
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,Consumer Non-Durables,Farming/Seeds/Milling
BTN,Ballantyne Strong Inc. Common Stock,Miscellaneous,Industrial Machinery/Components
BTO,John Hancock Financial Opportunities Fund Common Stock,Finance,Investment Managers
BTOG,China Xiangtai Food Co. Ltd. Ordinary Shares,Consumer Non-Durables,Meat/Poultry/Fish
BTRS,BTRS Holdings Inc. Class 1 Common Stock,Technology,EDP Services
BTT,BlackRock Municipal 2030 Target Term Trust,Finance,Investment Managers
BTTR,Better Choice Company Inc. Common Stock,Consumer Non-Durables,Food Distributors
BTTX,Better Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BTU,Peabody Energy Corporation Common Stock ,Energy,Coal Mining
BTWN,Bridgetown Holdings Limited Class A Ordinary Shares,Finance,Business Services
BTWNU,Bridgetown Holdings Limited Units,Finance,Business Services
BTWNW,Bridgetown Holdings Limited Warrants,Finance,Business Services
BTX,Brooklyn ImmunoTherapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BTZ,BlackRock Credit Allocation Income Trust,Finance,Finance Companies
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),Consumer Non-Durables,Beverages (Production/Distribution)
BUI,BlackRock Utility Infrastructure & Power Opportunities Trust,Finance,Trusts Except Educational Religious and Charitable
BUR,Burford Capital Limited Ordinary Shares,Consumer Non-Durables,Farming/Seeds/Milling
BURL,Burlington Stores Inc. Common Stock,Consumer Non-Durables,Apparel
BUSE,First Busey Corporation Class A Common Stock,Finance,Major Banks
BV,BrightView Holdings Inc. Common Stock,Miscellaneous,Business Services
BVH,Bluegreen Vacations Holding Corporation Class A Common Stock,Consumer Services,Hotels/Resorts
BVN,Buenaventura Mining Company Inc.,Basic Industries,Precious Metals
BVS,Bioventus Inc. Class A Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BVXV,BiondVax Pharmaceuticals Ltd. American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BW,Babcock & Wilcox Enterprises Inc. Common Stock,Technology,Industrial Machinery/Components
BW^A,Babcock & Wilcox Enterprises Inc. 7.75% Series A Cumulative Perpetual Preferred Stock,,
BWA,BorgWarner Inc. Common Stock,Capital Goods,Auto Parts:O.E.M.
BWAC,Better World Acquisition Corp. Common Stock,,
BWACW,Better World Acquisition Corp. Warrants,,
BWAQ,Blue World Acquisition Corporation Class A Ordinary Shares,,
BWAQR,Blue World Acquisition Corporation Right,,
BWAQU,Blue World Acquisition Corporation Unit,,
BWAQW,Blue World Acquisition Corporation Warrant,,
BWAY,BrainsWay Ltd. American Depositary Shares,Health Care,Medical/Dental Instruments
BWB,Bridgewater Bancshares Inc. Common Stock,Finance,Major Banks
BWBBP,Bridgewater Bancshares Inc. Depositary Shares Each Representing a 1/100th Interest in a Share of 5.875% Non-Cumulative Perpetual Preferred Stock Series A,Finance,Major Banks
BWC,Blue Whale Acquisition Corp I Class A Ordinary Shares,,
BWCAU,Blue Whale Acquisition Corp I Unit,,
BWCAW,Blue Whale Acquisition Corp I Warrant,,
BWEN,Broadwind Inc. Common Stock,Capital Goods,Industrial Machinery/Components
BWFG,Bankwell Financial Group Inc. Common Stock,Finance,Major Banks
BWG,BrandywineGLOBAL Global Income Opportunities Fund Inc.,Finance,Finance/Investors Services
BWMN,Bowman Consulting Group Ltd. Common Stock,Consumer Services,Professional Services
BWMX,Betterware de Mexico S.A.B. de C.V. Ordinary Shares,Consumer Services,Catalog/Specialty Distribution
BWNB,Babcock & Wilcox Enterprises Inc. 6.50% Senior Notes due 2026,Capital Goods,Building Products
BWSN,Babcock & Wilcox Enterprises Inc. 8.125% Senior Notes due 2026,Capital Goods,Building Products
BWV,Blue Water Vaccines Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BWXT,BWX Technologies Inc. Common Stock,,
BX,Blackstone Inc. Common Stock,Finance,Investment Managers
BXC,Bluelinx Holdings Inc. Common Stock,Capital Goods,Wholesale Distributors
BXMT,Blackstone Mortgage Trust Inc. Common Stock,Consumer Services,Real Estate Investment Trusts
BXMX,Nuveen S&P 500 Buy-Write Income Fund Common Shares of Beneficial Interest,Finance,Investment Managers
BXP,Boston Properties Inc. Common Stock,Consumer Services,Real Estate Investment Trusts
BXRX,Baudax Bio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BXSL,Blackstone Secured Lending Fund Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
BY,Byline Bancorp Inc. Common Stock,Finance,Major Banks
BYD,Boyd Gaming Corporation Common Stock,Consumer Services,Hotels/Resorts
BYFC,Broadway Financial Corporation Common Stock,Finance,Savings Institutions
BYM,Blackrock Municipal Income Quality Trust Common Shares of Beneficial Interest,Finance,Investment Managers
BYN,Banyan Acquisition Corporation Class A Common Stock,,
BYND,Beyond Meat Inc. Common Stock,Consumer Non-Durables,Specialty Foods
BYNOU,byNordic Acquisition Corporation Units,,
BYRN,Byrna Technologies Inc. Common Stock,Consumer Non-Durables,Military/Government/Technical
BYSI,BeyondSpring Inc. Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
BYTS,BYTE Acquisition Corp. Class A Ordinary Shares,Finance,Business Services
BYTSU,BYTE Acquisition Corp. Units,Finance,Business Services
BYTSW,BYTE Acquisition Corp. Warrants,Finance,Business Services
BZ,KANZHUN LIMITED American Depository Shares,,
BZFD,BuzzFeed Inc. Class A Common Stock,Consumer Services,Movies/Entertainment
BZFDW,BuzzFeed Inc. Warrant,Consumer Services,Movies/Entertainment
BZH,Beazer Homes USA Inc. Common Stock,Capital Goods,Homebuilding
BZUN,Baozun Inc. American Depositary Shares,Consumer Services,Catalog/Specialty Distribution
C,Citigroup Inc. Common Stock,Finance,Major Banks
C^J,Citigroup Inc. Dep Shs Repstg 1/1000 Pfd Ser J Fixed/Fltg,,
C^K,Citigroup Inc. Dep Shs Repstg 1/1000th Pfd Ser K,,
C^N,Citigroup Capital XIII 7.875% Fixed rate Floating Rate trust Preferred Securities (TruPS),,
CAAP,Corporacion America Airports SA Common Shares,Transportation,Aerospace
CAAS,China Automotive Systems Inc. Common Stock,Capital Goods,Auto Parts:O.E.M.
CABA,Cabaletta Bio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CABO,Cable One Inc. Common Stock,Consumer Services,Telecommunications Equipment
CAC,Camden National Corporation Common Stock,Finance,Major Banks
CACC,Credit Acceptance Corporation Common Stock,Finance,Finance: Consumer Services
CACI,CACI International Inc. Class A Common Stock,Technology,EDP Services
CADE,Cadence Bank Common Stock,Finance,Major Banks
CADE^A,Cadence Bank 5.50% Series A ,,
CADL,Candel Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CAE,CAE Inc. Ordinary Shares,,
CAF,Morgan Stanley China A Share Fund Inc. Common Stock,Finance,Investment Managers
CAG,ConAgra Brands Inc. Common Stock,Consumer Non-Durables,Packaged Foods
CAH,Cardinal Health Inc. Common Stock,Health Care,Other Pharmaceuticals
CAJ,Canon Inc. American Depositary Shares,Miscellaneous,Industrial Machinery/Components
CAKE,Cheesecake Factory Incorporated (The) Common Stock,Consumer Services,Restaurants
CAL,Caleres Inc. Common Stock,Consumer Non-Durables,Shoe Manufacturing
CALA,Calithera Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CALB,California BanCorp Common Stock,Finance,Major Banks
CALM,Cal-Maine Foods Inc. Common Stock,,Farming/Seeds/Milling
CALT,Calliditas Therapeutics AB American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
CALX,Calix Inc Common Stock,Technology,Computer Software: Prepackaged Software
CAMP,CalAmp Corp. Common Stock,Consumer Services,Telecommunications Equipment
CAMT,Camtek Ltd. Ordinary Shares,Capital Goods,Electronic Components
CAN,Canaan Inc. American Depositary Shares,Technology,Semiconductors
CANB,Can B Corp.,,
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),Health Care,Biotechnology: Pharmaceutical Preparations
CANG,Cango Inc. American Depositary Shares  each representing two (2) Class A Ordinary Shares,Technology,Computer Software: Prepackaged Software
CANO,Cano Health Inc. Class A Common Stock,Health Care,Hospital/Nursing Management
CAPL,CrossAmerica Partners LP Common Units representing limited partner interests,,
CAPR,Capricor Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CAR,Avis Budget Group Inc. Common Stock,Miscellaneous,Rental/Leasing Companies
CARA,Cara Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CARE,Carter Bankshares Inc. Common Stock,Finance,Major Banks
CARG,CarGurus Inc. Class A Common Stock ,,
CARR,Carrier Global Corporation Common Stock ,Capital Goods,Wholesale Distributors
CARS,Cars.com Inc. Common Stock ,,
CARV,Carver Bancorp Inc. Common Stock,Finance,Savings Institutions
CAS,Cascade Acquisition Corp. Class A Common Stock,,
CASA,Casa Systems Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
CASH,Meta Financial Group Inc. Common Stock,Finance,Banks
CASI,CASI Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CASS,Cass Information Systems Inc Common Stock,Miscellaneous,Business Services
CASY,Casey's General Stores Inc. Common Stock,Miscellaneous,Diversified Commercial Services
CAT,Caterpillar Inc. Common Stock,Capital Goods,Construction/Ag Equipment/Trucks
CATC,Cambridge Bancorp Common Stock,Finance,Major Banks
CATO,Cato Corporation (The) Class A Common Stock,,
CATY,Cathay General Bancorp Common Stock,Finance,Major Banks
CB,Chubb Limited  Common Stock,Finance,Property-Casualty Insurers
CBAN,Colony Bankcorp Inc. Common Stock,Finance,Major Banks
CBAT,CBAK Energy Technology Inc. Common Stock,Capital Goods,Electrical Products
CBAY,CymaBay Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CBD,Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share,Consumer Services,Food Chains
CBFV,CB Financial Services Inc. Common Stock,Finance,Major Banks
CBH,Virtus AllianzGI Convertible & Income 2024 Target Term Fund Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
CBIO,Catalyst Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CBL,CBL & Associates Properties Inc. Common Stock,Consumer Services,Real Estate Investment Trusts
CBNK,Capital Bancorp Inc. Common Stock,Finance,Major Banks
CBOE,Cboe Global Markets Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
CBRE,CBRE Group Inc Common Stock Class A,Finance,Real Estate
CBRG,Chain Bridge I Class A Ordinary Shares,,
CBRGW,Chain Bridge I Warrants,,
CBRL,Cracker Barrel Old Country Store Inc Common Stock,Consumer Services,Restaurants
CBSH,Commerce Bancshares Inc. Common Stock,Finance,Major Banks
CBT,Cabot Corporation Common Stock,Basic Industries,Specialty Chemicals
CBTX,CBTX Inc. Common Stock,Finance,Major Banks
CBU,Community Bank System Inc. Common Stock,Finance,Major Banks
CBZ,CBIZ Inc. Common Stock,Miscellaneous,Business Services
CC,Chemours Company (The) Common Stock,Basic Industries,Industrial Specialties
CCAI,Cascadia Acquisition Corp. Class A Common Stock,,
CCAIU,Cascadia Acquisition Corp. Unit,,
CCAIW,Cascadia Acquisition Corp. Warrant,,
CCAP,Crescent Capital BDC Inc. Common stock,,
CCB,Coastal Financial Corporation Common Stock,Finance,Commercial Banks
CCBG,Capital City Bank Group Common Stock,Finance,Major Banks
CCCC,C4 Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CCCS,CCC Intelligent Solutions Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software
CCD,Calamos Dynamic Convertible & Income Fund Common Stock,Finance,Trusts Except Educational Religious and Charitable
CCEL,Cryo-Cell International Inc. Common Stock,Health Care,Managed Health Care
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,Consumer Non-Durables,Beverages (Production/Distribution)
CCF,Chase Corporation Common Stock,Basic Industries,Paints/Coatings
CCI,Crown Castle International Corp. (REIT) Common Stock,Consumer Services,Real Estate Investment Trusts
CCJ,Cameco Corporation Common Stock,,
CCK,Crown Holdings Inc.,Consumer Durables,Containers/Packaging
CCL,Carnival Corporation Common Stock,Consumer Services,Marine Transportation
CCLP,CSI Compressco LP Common Units,Energy,Oilfield Services/Equipment
CCM,Concord Medical Services Holdings Limited ADS (Each represents three ordinary shares),Health Care,Medical/Nursing Services
CCMP,CMC Materials Inc. Common Stock,Technology,Semiconductors
CCNC,Code Chain New Continent Limited Common Stock,,
CCNE,CNB Financial Corporation Common Stock,Finance,Major Banks
CCNEP,CNB Financial Corporation Depositary Shares each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock,Finance,Major Banks
CCO,Clear Channel Outdoor Holdings Inc. Common Stock,Technology,Advertising
CCOI,Cogent Communications Holdings Inc.,Consumer Services,Telecommunications Equipment
CCRD,CoreCard Corporation Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
CCRN,Cross Country Healthcare Inc. Common Stock $0.0001 Par Value,Technology,Diversified Commercial Services
CCS,Century Communities Inc. Common Stock,Capital Goods,Homebuilding
CCSI,Consensus Cloud Solutions Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
CCTS,Cactus Acquisition Corp. 1 Limited Class A Ordinary Share,,
CCTSU,Cactus Acquisition Corp. 1 Limited Unit,,
CCTSW,Cactus Acquisition Corp. 1 Limited Warrant,,
CCU,Compania Cervecerias Unidas S.A. Common Stock,Consumer Non-Durables,Beverages (Production/Distribution)
CCV,Churchill Capital Corp V Class A Common Stock,,
CCVI,Churchill Capital Corp VI Class A Common Stock,,
CCXI,ChemoCentryx Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CCZ,Comcast Holdings ZONES,Consumer Services,Television Services
CD,Chindata Group Holdings Limited American Depositary Shares,Finance,Investment Bankers/Brokers/Service
CDAK,Codiak BioSciences Inc. Common Stock,Consumer Durables,Specialty Chemicals
CDAQ,Compass Digital Acquisition Corp. Class A Ordinary Shares,,
CDAQU,Compass Digital Acquisition Corp. Unit,,
CDAQW,Compass Digital Acquisition Corp. Warrant,,
CDAY,Ceridian HCM Holding Inc. Common Stock,Technology,EDP Services
CDE,Coeur Mining Inc. Common Stock,Basic Industries,Precious Metals
CDEV,Centennial Resource Development Inc. Class A Common Stock,Energy,Oil & Gas Production
CDK,CDK Global Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
CDLX,Cardlytics Inc. Common Stock,Technology,Advertising
CDMO,Avid Bioservices Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CDNA,CareDx Inc. Common Stock,Health Care,Medical Specialities
CDNS,Cadence Design Systems Inc. Common Stock,Technology,Computer Software: Prepackaged Software
CDR,Cedar Realty Trust Inc. Common Stock,Consumer Services,Real Estate Investment Trusts
CDR^B,Cedar Realty Trust Inc. 7.25% Series B Cumulative Redeemable Preferred Stock,,
CDR^C,Cedar Realty Trust Inc. 6.50% Series C Cumulative Redeemable Preferred Stock,,
CDRE,Cadre Holdings Inc. Common Stock,,
CDRO,Codere Online Luxembourg S.A. Ordinary Shares,Finance,Business Services
CDROW,Codere Online Luxembourg S.A. Warrants,Finance,Business Services
CDTX,Cidara Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CDW,CDW Corporation Common Stock,Technology,EDP Services
CDXC,ChromaDex Corporation Common Stock,Consumer Durables,Specialty Chemicals
CDXS,Codexis Inc. Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch
CDZI,CADIZ Inc. Common Stock,Public Utilities,Water Supply
CDZIP,Cadiz Inc. Depositary Shares,Public Utilities,Water Supply
CE,Celanese Corporation Celanese Corporation Common Stock,Basic Industries,Major Chemicals
CEA,China Eastern Airlines Corporation Ltd. Common Stock,Transportation,Air Freight/Delivery Services
CEAD,CEA Industries Inc. Common Stock,Capital Goods,Industrial Machinery/Components
CEADW,CEA Industries Inc. Warrant,Capital Goods,Industrial Machinery/Components
CECE,CECO Environmental Corp. Common Stock,Capital Goods,Pollution Control Equipment
CEE,The Central and Eastern Europe Fund Inc. (The) Common Stock,Finance,Finance Companies
CEG,Constellation Energy Corporation Common Stock ,,
CEI,Camber Energy Inc. Common Stock,Energy,Oil & Gas Production
CEIX,CONSOL Energy Inc. Common Stock ,,
CELC,Celcuity Inc. Common Stock,Health Care,Medical Specialities
CELH,Celsius Holdings Inc. Common Stock,Consumer Non-Durables,Beverages (Production/Distribution)
CELP,Cypress Environmental Partners L.P. Common Units representing limited partner interests,Energy,Oilfield Services/Equipment
